variant,tag,reference,max-dt-200,max-dt-400,max-gap-freq-80,max-gap-freq-99,max-gap-num-50,max-gap-num-500,min-seqs-2,min-seqs-6,no-ambiguous
704010042-3-7362--,704010042-3,-0.0014,-0.0009,-0.0014,-0.0014,-0.0014,,-0.0014,-0.0014,-0.0014,-0.0014
704010042-3-7363--,704010042-3,-0.0014,-0.0009,-0.0014,-0.0014,-0.0014,,-0.0014,-0.0014,-0.0014,-0.0014
704010042-3-7364--,704010042-3,-0.0,-0.0006,-0.0,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0
704010042-3-7365--,704010042-3,-0.0014,-0.0009,-0.0014,-0.0014,-0.0014,,-0.0014,-0.0014,-0.0014,-0.0014
704010042-3-7366--,704010042-3,-0.0,-0.0006,-0.0,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0
704010042-3-7367--,704010042-3,-0.0,-0.0006,-0.0,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0
704010042-3-7368--,704010042-3,-0.0011,-0.0009,-0.0011,-0.0011,-0.0012,,-0.0011,-0.0011,-0.0011,-0.0011
704010042-3-7369--,704010042-3,-0.0011,-0.0009,-0.0011,-0.0011,-0.0012,,-0.0011,-0.0011,-0.0011,-0.0011
704010042-3-7370--,704010042-3,-0.0011,-0.0009,-0.0011,-0.0011,-0.0012,,-0.0011,-0.0011,-0.0011,-0.0011
704010042-3-7371--,704010042-3,-0.0011,-0.0009,-0.0011,-0.0011,-0.0012,,-0.0011,-0.0011,-0.0011,-0.0011
704010042-3-7372--,704010042-3,-0.0011,-0.0009,-0.0011,-0.0011,-0.0012,,-0.0011,-0.0011,-0.0011,-0.0011
704010042-3-7373--,704010042-3,-0.0013,-0.0009,-0.0013,-0.0013,-0.0014,,-0.0013,-0.0013,-0.0013,-0.0014
704010042-3-7374--,704010042-3,-0.0011,-0.0009,-0.0011,-0.0011,-0.0012,,-0.0011,-0.0011,-0.0011,-0.0011
704010042-3-7375--,704010042-3,-0.0,-0.0006,-0.0,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0
704010042-3-7376--,704010042-3,-0.0011,-0.0009,-0.0011,-0.0011,-0.0012,,-0.0011,-0.0011,-0.0011,-0.0011
704010042-3-7377--,704010042-3,-0.0011,-0.0009,-0.0011,-0.0011,-0.0012,,-0.0011,-0.0011,-0.0011,-0.0011
704010042-3-7378--,704010042-3,-0.0014,-0.0009,-0.0014,-0.0014,-0.0014,,-0.0014,-0.0014,-0.0014,-0.0014
704010042-3-7379--,704010042-3,-0.0016,-0.0009,-0.0016,-0.0017,-0.0017,,-0.0017,-0.0016,-0.0016,-0.0013
704010042-3-7379-T,704010042-3,-0.0041,,-0.0041,-0.0041,-0.0041,-0.0046,-0.0041,-0.0041,-0.0041,-0.0034
704010042-3-7380--,704010042-3,-0.0,-0.0006,-0.0,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0
704010042-3-7381--,704010042-3,-0.0,-0.0006,-0.0,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0
704010042-3-7382--,704010042-3,-0.0011,-0.0009,-0.0011,-0.0011,-0.0011,,-0.0011,-0.0011,-0.0011,-0.0012
704010042-3-7382-C,704010042-3,-0.0029,,-0.0029,-0.0029,-0.0029,-0.0034,-0.0029,-0.0029,-0.0029,-0.0031
704010042-3-7383--,704010042-3,-0.0,-0.0006,-0.0,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0
704010042-3-7384--,704010042-3,-0.0013,-0.0009,-0.0013,-0.0013,-0.0014,,-0.0013,-0.0013,-0.0013,-0.0014
704010042-3-7385--,704010042-3,-0.0,-0.0006,-0.0,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0
704010042-3-7386--,704010042-3,-0.0037,-0.0042,-0.0037,-0.0038,-0.0036,,-0.0039,-0.0037,-0.0037,-0.0038
704010042-3-7386-G,704010042-3,-0.0087,-0.0079,-0.0087,-0.0088,-0.0085,-0.0091,-0.009,-0.0087,-0.0087,-0.0088
704010042-3-7387--,704010042-3,-0.0013,-0.0009,-0.0013,-0.0013,-0.0014,,-0.0013,-0.0013,-0.0013,-0.0014
704010042-3-7388--,704010042-3,-0.0,-0.0006,-0.0,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0
704010042-3-7389--,704010042-3,0.0019,-0.0009,0.0019,0.0019,0.002,,0.0017,0.0019,0.0019,0.0018
704010042-3-7389-G,704010042-3,0.0015,,0.0015,0.0015,0.0015,0.001,0.0013,0.0015,0.0015,0.0013
704010042-3-7389-T,704010042-3,0.003,,0.003,0.003,0.003,0.0026,0.0026,0.003,0.003,0.0027
704010042-3-7390--,704010042-3,-0.0012,-0.0009,-0.0012,-0.0012,-0.0011,,-0.0012,-0.0012,-0.0012,-0.0012
704010042-3-7390-T,704010042-3,-0.0031,,-0.0031,-0.0031,-0.003,-0.0037,-0.0031,-0.0031,-0.0031,-0.0032
704010042-3-7391--,704010042-3,-0.0,-0.0006,-0.0,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0
704010042-3-7392--,704010042-3,-0.0011,-0.0009,-0.0011,-0.0011,-0.0012,,-0.0011,-0.0011,-0.0011,-0.0011
704010042-3-7393--,704010042-3,-0.0011,-0.0009,-0.0011,-0.0011,-0.0012,,-0.0011,-0.0011,-0.0011,-0.0011
704010042-3-7394--,704010042-3,-0.0014,-0.0009,-0.0014,-0.0014,-0.0014,,-0.0014,-0.0014,-0.0014,-0.0014
704010042-3-7395--,704010042-3,-0.0011,-0.0009,-0.0011,-0.0011,-0.0012,,-0.0011,-0.0011,-0.0011,-0.0011
704010042-3-7396--,704010042-3,-0.0011,-0.0009,-0.0011,-0.0011,-0.0012,,-0.0011,-0.0011,-0.0011,-0.0011
704010042-3-7397--,704010042-3,-0.0011,-0.0009,-0.0011,-0.0011,-0.0012,,-0.0011,-0.0011,-0.0011,-0.0011
704010042-3-7398--,704010042-3,-0.0,-0.0006,-0.0,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0
704010042-3-7399--,704010042-3,-0.0,-0.0006,-0.0,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0
704010042-3-7400--,704010042-3,-0.0026,-0.0031,-0.0026,-0.0026,-0.0028,,-0.0027,-0.0026,-0.0026,-0.0028
704010042-3-7400-C,704010042-3,-0.0059,-0.0055,-0.0059,-0.0059,-0.0062,-0.0062,-0.0061,-0.0059,-0.0059,-0.0062
704010042-3-7401--,704010042-3,-0.0014,-0.0009,-0.0014,-0.0014,-0.0014,,-0.0014,-0.0014,-0.0014,-0.0014
704010042-3-7402--,704010042-3,-0.0014,-0.0009,-0.0014,-0.0014,-0.0014,,-0.0014,-0.0014,-0.0014,-0.0014
704010042-3-7403--,704010042-3,-0.0013,-0.0009,-0.0013,-0.0013,-0.0014,,-0.0013,-0.0013,-0.0013,-0.0014
704010042-3-7404--,704010042-3,-0.0,-0.0006,-0.0,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0
704010042-3-7405--,704010042-3,-0.0013,-0.0009,-0.0013,-0.0013,-0.0014,,-0.0013,-0.0013,-0.0013,-0.0014
704010042-3-7406--,704010042-3,-0.0013,-0.0009,-0.0013,-0.0013,-0.0014,,-0.0013,-0.0013,-0.0013,-0.0014
704010042-3-7407--,704010042-3,-0.0011,-0.0009,-0.0011,-0.0011,-0.0012,,-0.0011,-0.0011,-0.0011,-0.0011
704010042-3-7408--,704010042-3,-0.0,-0.0006,-0.0,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0
704010042-3-7409--,704010042-3,-0.0013,-0.0009,-0.0013,-0.0013,-0.0013,,-0.0013,-0.0013,-0.0013,-0.0014
704010042-3-7409-T,704010042-3,-0.0034,,-0.0034,-0.0034,-0.0033,-0.0039,-0.0033,-0.0034,-0.0034,-0.0036
704010042-3-7410--,704010042-3,-0.0,-0.0006,-0.0,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0
704010042-3-7411--,704010042-3,-0.0,-0.0006,-0.0,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0
704010042-3-7412--,704010042-3,-0.0011,-0.0009,-0.0011,-0.0011,-0.0012,,-0.0011,-0.0011,-0.0011,-0.0011
704010042-3-7413--,704010042-3,-0.0018,-0.0006,-0.0018,-0.0019,-0.0017,-0.0022,-0.0018,-0.0018,-0.0018,-0.0016
704010042-3-7413-G,704010042-3,-0.0015,,-0.0015,-0.0015,-0.0014,-0.0017,-0.0015,-0.0015,-0.0015,-0.0015
704010042-3-7414--,704010042-3,-0.0017,-0.0006,-0.0017,-0.0017,-0.0017,-0.002,-0.0017,-0.0017,-0.0017,-0.0015
704010042-3-7414-C,704010042-3,-0.0007,,-0.0007,-0.0007,-0.0008,-0.0009,-0.0007,-0.0007,-0.0007,-0.0008
704010042-3-7415--,704010042-3,-0.002,-0.0006,-0.002,-0.002,-0.002,-0.0023,-0.002,-0.002,-0.002,-0.0017
704010042-3-7416--,704010042-3,-0.0016,-0.0006,-0.0016,-0.0016,-0.0016,-0.0018,-0.0016,-0.0016,-0.0016,-0.0014
704010042-3-7416-G,704010042-3,-0.0011,,-0.0011,-0.0011,-0.0011,-0.0012,-0.0011,-0.0011,-0.0011,-0.0011
704010042-3-7417--,704010042-3,-0.0024,-0.0009,-0.0024,-0.0024,-0.0024,-0.0027,-0.0025,-0.0024,-0.0024,-0.0022
704010042-3-7417-G,704010042-3,-0.0015,,-0.0015,-0.0015,-0.0015,-0.0016,-0.0015,-0.0015,-0.0015,-0.0015
704010042-3-7418--,704010042-3,-0.0016,-0.0006,-0.0016,-0.0016,-0.0016,-0.0019,-0.0016,-0.0016,-0.0016,-0.0014
704010042-3-7418-C,704010042-3,-0.0007,,-0.0007,-0.0007,-0.0007,-0.0008,-0.0007,-0.0007,-0.0007,-0.0007
704010042-3-7419--,704010042-3,0.0019,0.0012,0.0019,0.002,0.002,0.0018,0.002,0.0019,0.0019,0.0022
704010042-3-7419-A,704010042-3,-0.0012,,-0.0012,-0.0012,-0.0013,-0.0014,-0.0012,-0.0012,-0.0012,-0.0007
704010042-3-7420--,704010042-3,-0.0001,-0.001,-0.0001,-0.0001,0.0001,-0.0002,-0.0001,-0.0001,-0.0001,0.0024
704010042-3-7420-C,704010042-3,-0.0015,,-0.0015,-0.0015,-0.0014,-0.0016,-0.0016,-0.0015,-0.0015,0.0009
704010042-3-7420-T,704010042-3,-0.0047,-0.004,-0.0047,-0.0046,-0.0043,-0.0048,-0.0047,-0.0047,-0.0047,
704010042-3-7421--,704010042-3,0.0022,0.0012,0.0022,0.0023,0.0023,0.0022,0.0023,0.0022,0.0022,0.0022
704010042-3-7422--,704010042-3,0.0055,0.0044,0.0055,0.0055,0.0056,0.0053,0.0055,0.0055,0.0055,0.0053
704010042-3-7423--,704010042-3,0.0055,0.0044,0.0055,0.0056,0.0056,0.0053,0.0056,0.0055,0.0055,0.0053
704010042-3-7424--,704010042-3,-0.0,-0.0007,-0.0,-0.0,-0.0001,-0.0004,-0.0001,-0.0,-0.0,-0.0011
704010042-3-7424-T,704010042-3,-0.0089,-0.0084,-0.0089,-0.0089,-0.0092,-0.0092,-0.0092,-0.0089,-0.0089,-0.0107
704010042-3-7425--,704010042-3,0.0056,0.0044,0.0056,0.0056,0.0056,0.0053,0.0056,0.0056,0.0056,0.0053
704010042-3-7426--,704010042-3,0.0058,0.0046,0.0058,0.0058,0.0058,0.0055,0.0058,0.0058,0.0058,0.0056
704010042-3-7427--,704010042-3,0.0055,0.0044,0.0055,0.0056,0.0056,0.0053,0.0056,0.0055,0.0055,0.0053
704010042-3-7431--,704010042-3,0.0058,0.0046,0.0058,0.0058,0.0058,0.0055,0.0058,0.0058,0.0058,0.0056
704010042-3-7432--,704010042-3,0.0058,0.0046,0.0058,0.0058,0.0058,0.0055,0.0058,0.0058,0.0058,0.0056
704010042-3-7433--,704010042-3,0.0056,0.0044,0.0056,0.0056,0.0056,0.0053,0.0056,0.0056,0.0056,0.0053
704010042-3-7434--,704010042-3,0.0061,0.0032,0.0061,0.0061,0.0062,0.006,0.0061,0.0061,0.0061,0.0061
704010042-3-7434-G,704010042-3,0.0061,0.0039,0.0061,0.0061,0.0063,0.0059,0.0062,0.0061,0.0061,0.0066
704010042-3-7435--,704010042-3,0.0051,0.0031,0.0051,0.0051,0.0051,0.0049,0.0051,0.0051,0.0051,0.0048
704010042-3-7435-C,704010042-3,0.0042,0.0039,0.0042,0.0042,0.0043,0.004,0.0043,0.0042,0.0042,0.0042
704010042-3-7435-T,704010042-3,0.0029,0.0021,0.0029,0.003,0.0029,0.0028,0.0029,0.0029,0.0029,0.0028
704010042-3-7436--,704010042-3,0.0051,0.0031,0.0051,0.0051,0.0051,0.0049,0.0051,0.0051,0.0051,0.0049
704010042-3-7436-C,704010042-3,0.0047,0.0039,0.0047,0.0047,0.0048,0.0045,0.0047,0.0047,0.0047,0.0046
704010042-3-7437--,704010042-3,0.0048,0.0031,0.0048,0.0048,0.0048,0.0046,0.0048,0.0048,0.0048,0.0047
704010042-3-7437-G,704010042-3,0.0021,,0.0021,0.002,0.0023,0.0019,0.002,0.0021,0.0021,0.0013
704010042-3-7437-T,704010042-3,0.0057,0.0039,0.0057,0.0057,0.0055,0.0055,0.0057,0.0057,0.0057,0.0061
704010042-3-7438--,704010042-3,0.0043,0.0029,0.0043,0.0044,0.0044,0.0042,0.0044,0.0043,0.0043,0.0042
704010042-3-7438-A,704010042-3,0.0041,0.0035,0.0041,0.0041,0.0041,0.0038,0.0041,0.0041,0.0041,0.0038
704010042-3-7439--,704010042-3,0.0048,0.0031,0.0048,0.0048,0.0049,0.0046,0.0048,0.0048,0.0048,0.0047
704010042-3-7439-C,704010042-3,0.0051,0.0039,0.0051,0.0051,0.0051,0.0048,0.0051,0.0051,0.0051,0.0049
704010042-3-7440--,704010042-3,0.0006,0.0008,0.0006,0.0005,0.0006,0.0002,0.0005,0.0006,0.0006,0.0009
704010042-3-7440-A,704010042-3,0.0033,0.0021,0.0033,0.0033,0.0033,0.0031,0.0032,0.0033,0.0033,0.0036
704010042-3-7441--,704010042-3,-0.0005,0.0008,-0.0005,-0.0005,-0.0004,-0.0009,-0.0005,-0.0005,-0.0005,-0.0003
704010042-3-7441-A,704010042-3,0.0012,0.0021,0.0012,0.0012,0.0012,0.0009,0.0012,0.0012,0.0012,0.0011
704010042-3-7441-C,704010042-3,0.0002,,0.0002,0.0003,0.0003,0.0,0.0002,0.0002,0.0002,0.0003
704010042-3-7442--,704010042-3,-0.0021,0.0002,-0.0021,-0.0021,-0.002,-0.0022,-0.002,-0.0021,-0.0021,-0.0019
704010042-3-7442-A,704010042-3,-0.0016,,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016
704010042-3-7442-C,704010042-3,-0.0017,0.0011,-0.0017,-0.0017,-0.0017,-0.0015,-0.0016,-0.0017,-0.0017,-0.0018
704010042-3-7443--,704010042-3,0.0008,0.0008,0.0008,0.0008,0.0008,,0.0008,0.0008,0.0008,0.0005
704010042-3-7443-A,704010042-3,0.0003,0.0021,0.0003,0.0003,0.0003,0.0003,0.0004,0.0003,0.0003,-0.0002
704010042-3-7444--,704010042-3,0.0006,0.0005,0.0006,0.0006,0.0006,,0.0006,0.0006,0.0006,0.0005
704010042-3-7444-C,704010042-3,0.0005,0.0017,0.0005,0.0005,0.0005,0.0003,0.0005,0.0005,0.0005,0.0002
704010042-3-7444-G,704010042-3,-0.0006,,-0.0006,-0.0006,-0.0006,-0.0009,-0.0006,-0.0006,-0.0006,-0.0007
704010042-3-7445--,704010042-3,0.0012,0.0019,0.0012,0.0012,0.0012,,0.0012,0.0012,0.0012,0.0011
704010042-3-7445-A,704010042-3,0.0016,0.0036,0.0016,0.0016,0.0017,0.0018,0.0016,0.0016,0.0016,0.0013
704010042-3-7445-C,704010042-3,0.0006,0.0029,0.0006,0.0006,0.0006,0.0007,0.0007,0.0006,0.0006,0.0007
704010042-3-7446--,704010042-3,0.0006,0.0005,0.0006,0.0006,0.0005,,0.0006,0.0006,0.0006,0.0004
704010042-3-7446-G,704010042-3,-0.0007,,-0.0007,-0.0006,-0.0006,-0.001,-0.0007,-0.0007,-0.0007,-0.0007
704010042-3-7446-T,704010042-3,0.0005,0.0017,0.0005,0.0005,0.0004,0.0003,0.0005,0.0005,0.0005,0.0002
704010042-3-7447--,704010042-3,0.0008,0.001,0.0008,0.0008,0.0006,,0.0008,0.0008,0.0008,0.0011
704010042-3-7447-C,704010042-3,0.0016,0.0029,0.0016,0.0016,0.0011,0.0016,0.0016,0.0016,0.0016,0.0022
704010042-3-7448--,704010042-3,0.0012,0.0019,0.0012,0.0012,0.0012,,0.0012,0.0012,0.0012,0.0011
704010042-3-7448-A,704010042-3,0.0015,0.0036,0.0015,0.0015,0.0015,0.0016,0.0015,0.0015,0.0015,0.0014
704010042-3-7448-C,704010042-3,0.0008,0.0029,0.0008,0.0007,0.0008,0.0008,0.0007,0.0008,0.0008,0.0006
704010042-3-7449--,704010042-3,0.0013,0.0019,0.0013,0.0013,0.0013,,0.0013,0.0013,0.0013,0.0011
704010042-3-7449-A,704010042-3,-0.0002,0.0029,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0006
704010042-3-7449-G,704010042-3,0.0024,0.0036,0.0024,0.0024,0.0023,0.0025,0.0024,0.0024,0.0024,0.0023
704010042-3-7450--,704010042-3,0.001,0.0018,0.001,0.001,0.001,,0.001,0.001,0.001,0.0009
704010042-3-7450-A,704010042-3,-0.0008,0.0028,-0.0008,-0.0009,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008,-0.001
704010042-3-7450-G,704010042-3,0.0024,0.0036,0.0024,0.0023,0.0023,0.0025,0.0024,0.0024,0.0024,0.0022
704010042-3-7451--,704010042-3,0.0016,0.0021,0.0016,0.0016,0.0016,,0.0016,0.0016,0.0016,0.0015
704010042-3-7451-C,704010042-3,0.0003,,0.0003,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0004
704010042-3-7451-T,704010042-3,0.003,0.0049,0.003,0.003,0.003,0.0033,0.0031,0.003,0.003,0.0025
704010042-3-7452--,704010042-3,0.0024,0.0011,0.0024,0.0024,0.0024,,0.0024,0.0024,0.0024,0.0024
704010042-3-7452-G,704010042-3,0.0036,0.0028,0.0036,0.0036,0.0036,0.0036,0.0036,0.0036,0.0036,0.0036
704010042-3-7453--,704010042-3,0.0032,0.0018,0.0032,0.0032,0.0032,,0.0032,0.0032,0.0032,0.003
704010042-3-7453-A,704010042-3,0.0058,0.0045,0.0058,0.0059,0.0059,0.0061,0.0059,0.0058,0.0058,0.0056
704010042-3-7454--,704010042-3,0.001,0.0019,0.001,0.001,0.001,,0.001,0.001,0.001,0.0011
704010042-3-7454-A,704010042-3,0.0005,0.003,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0004
704010042-3-7454-T,704010042-3,0.0009,0.0034,0.0009,0.0008,0.0008,0.0009,0.0008,0.0009,0.0009,0.0012
704010042-3-7455--,704010042-3,0.0,-0.0002,0.0,0.0,-0.0,,-0.0,0.0,0.0,0.0001
704010042-3-7456--,704010042-3,0.0012,0.0023,0.0012,0.0012,0.0012,,0.0012,0.0012,0.0012,0.0011
704010042-3-7456-A,704010042-3,0.0014,0.0038,0.0014,0.0014,0.0014,0.0015,0.0014,0.0014,0.0014,0.0014
704010042-3-7456-C,704010042-3,0.0008,0.0031,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0006
704010042-3-7457--,704010042-3,0.002,0.0023,0.002,0.002,0.002,,0.002,0.002,0.002,0.0019
704010042-3-7457-A,704010042-3,0.0015,0.0032,0.0015,0.0014,0.0015,0.0015,0.0015,0.0015,0.0015,0.0012
704010042-3-7457-T,704010042-3,0.0027,0.0036,0.0027,0.0027,0.0028,0.0029,0.0027,0.0027,0.0027,0.0027
704010042-3-7458--,704010042-3,0.0017,0.0025,0.0017,0.0017,0.0017,,0.0017,0.0017,0.0017,0.0016
704010042-3-7458-G,704010042-3,0.0012,0.0034,0.0012,0.0012,0.0012,0.0013,0.0012,0.0012,0.0012,0.001
704010042-3-7458-T,704010042-3,0.0028,0.0041,0.0028,0.0028,0.0028,0.003,0.0028,0.0028,0.0028,0.0028
704010042-3-7459--,704010042-3,-0.0008,0.0006,-0.0008,-0.0008,-0.0008,,-0.0008,-0.0008,-0.0008,-0.0009
704010042-3-7459-G,704010042-3,-0.0009,0.0016,-0.0009,-0.0009,-0.0009,-0.0011,-0.0008,-0.0009,-0.0009,-0.0011
704010042-3-7460--,704010042-3,0.0005,0.0009,0.0005,0.0005,0.0004,,0.0005,0.0005,0.0005,0.0004
704010042-3-7460-T,704010042-3,0.0004,0.0019,0.0004,0.0004,0.0003,0.0002,0.0004,0.0004,0.0004,0.0001
704010042-3-7461-G,704010042-3,-0.0007,0.0017,-0.0007,-0.0007,-0.0008,-0.0004,-0.0007,-0.0007,-0.0007,-0.001
704010042-3-7463-T,704010042-3,-0.0021,,-0.0021,-0.0021,-0.0021,-0.0021,-0.0021,-0.0021,-0.0021,-0.0026
704010042-3-7469-G,704010042-3,-0.0033,,-0.0033,-0.0032,-0.0032,-0.0034,-0.003,-0.0033,-0.0033,-0.0033
704010042-3-7474-G,704010042-3,0.0005,0.0016,0.0005,0.0005,0.0004,0.0005,0.0003,0.0005,0.0005,0.0005
704010042-3-7475-G,704010042-3,-0.0024,,-0.0024,-0.0023,-0.0024,-0.0023,-0.0022,-0.0024,-0.0024,-0.0023
704010042-3-7477-A,704010042-3,-0.0045,,-0.0045,-0.0045,-0.0045,-0.0045,-0.0045,-0.0045,-0.0045,-0.0047
704010042-3-7491-A,704010042-3,-0.0034,,-0.0034,-0.0034,-0.0035,-0.0034,-0.0034,-0.0034,-0.0034,-0.0026
704010042-3-7496-C,704010042-3,-0.0007,,-0.0007,-0.0007,-0.0008,-0.0007,-0.0007,-0.0007,-0.0007,-0.0002
704010042-3-7501--,704010042-3,-0.0021,-0.0009,-0.0021,-0.0021,-0.0019,-0.0021,-0.002,-0.0021,-0.0021,-0.0025
704010042-3-7502--,704010042-3,-0.0023,-0.001,-0.0023,-0.0023,-0.0022,-0.0024,-0.0023,-0.0023,-0.0023,-0.0027
704010042-3-7519-A,704010042-3,-0.0118,-0.0093,-0.0118,-0.0118,-0.0113,-0.0118,-0.012,-0.0118,-0.0118,-0.0116
704010042-3-7520-G,704010042-3,-0.003,,-0.003,-0.0031,-0.003,-0.0029,-0.003,-0.003,-0.003,-0.0035
704010042-3-7530-A,704010042-3,-0.0027,,-0.0027,-0.0028,-0.0028,-0.0027,-0.0028,-0.0027,-0.0027,-0.0027
704010042-3-7541-G,704010042-3,-0.0027,,-0.0027,-0.0027,-0.0026,-0.0026,-0.0027,-0.0027,-0.0027,-0.0026
704010042-3-7543-A,704010042-3,-0.0002,,-0.0002,-0.0002,0.0001,-0.0001,0.0001,-0.0002,-0.0002,-0.0008
704010042-3-7559-C,704010042-3,-0.0101,-0.0051,-0.0101,-0.0101,-0.0099,-0.0104,-0.0101,-0.0101,-0.0101,-0.0069
704010042-3-7560-C,704010042-3,0.0007,,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0002
704010042-3-7561-A,704010042-3,-0.0035,,-0.0035,-0.0035,-0.0035,-0.0034,-0.0035,-0.0035,-0.0035,-0.0036
704010042-3-7562-A,704010042-3,-0.0027,,-0.0027,-0.0027,-0.0026,-0.0027,-0.0027,-0.0027,-0.0027,-0.0028
704010042-3-7578-A,704010042-3,-0.0006,0.0023,-0.0006,-0.0007,-0.001,-0.0005,-0.0006,-0.0006,-0.0006,-0.003
704010042-3-7580-G,704010042-3,-0.003,,-0.003,-0.0029,-0.003,-0.003,-0.003,-0.003,-0.003,-0.0026
704010042-3-7588-T,704010042-3,-0.0032,-0.0014,-0.0032,-0.0032,-0.0032,-0.0033,-0.0032,-0.0032,-0.0032,-0.0032
704010042-3-7599--,704010042-3,-0.0044,-0.0018,-0.0044,-0.0044,-0.0045,-0.0044,-0.0044,-0.0044,-0.0044,-0.0038
704010042-3-7600--,704010042-3,-0.0044,-0.0018,-0.0044,-0.0044,-0.0045,-0.0044,-0.0044,-0.0044,-0.0044,-0.0038
704010042-3-7601--,704010042-3,-0.0032,-0.0014,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0025
704010042-3-7601a--,704010042-3,0.001,0.0031,0.001,0.001,0.0011,0.001,0.001,0.001,0.001,0.0017
704010042-3-7601b--,704010042-3,0.001,0.0031,0.001,0.001,0.0011,0.001,0.001,0.001,0.001,0.0017
704010042-3-7601c--,704010042-3,0.0,0.0028,0.0,0.0001,0.0002,0.0,-0.0,0.0,0.0,0.0008
704010042-3-7601c-A,704010042-3,-0.0013,,-0.0013,-0.0012,-0.0011,-0.0012,-0.0013,-0.0013,-0.0013,-0.0008
704010042-3-7601d--,704010042-3,0.001,0.0031,0.001,0.001,0.0011,0.001,0.001,0.001,0.001,0.0017
704010042-3-7601e--,704010042-3,0.001,0.0031,0.001,0.001,0.0011,0.001,0.001,0.001,0.001,0.0017
704010042-3-7601f--,704010042-3,0.0001,0.0028,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0008
704010042-3-7602--,704010042-3,0.0041,0.0031,0.0041,0.0041,0.0041,0.004,0.0041,0.0041,0.0041,0.0043
704010042-3-7603--,704010042-3,0.0041,0.0031,0.0041,0.0041,0.0041,0.004,0.0041,0.0041,0.0041,0.0043
704010042-3-7604--,704010042-3,0.0036,0.0028,0.0036,0.0036,0.0039,0.0035,0.0036,0.0036,0.0036,0.0036
704010042-3-7604-A,704010042-3,0.0013,,0.0013,0.0013,0.0019,0.0012,0.0013,0.0013,0.0013,0.0009
704010042-3-7605--,704010042-3,0.0062,0.0042,0.0062,0.0062,0.0063,0.0061,0.0062,0.0062,0.0062,0.0058
704010042-3-7606--,704010042-3,0.0035,0.0039,0.0035,0.0035,0.0037,0.0035,0.0035,0.0035,0.0035,0.0033
704010042-3-7606-A,704010042-3,-0.0036,,-0.0036,-0.0035,-0.0034,-0.0035,-0.0036,-0.0036,-0.0036,-0.0033
704010042-3-7607--,704010042-3,0.0051,0.004,0.0051,0.0051,0.0052,0.005,0.0051,0.0051,0.0051,0.0047
704010042-3-7609-A,704010042-3,0.0001,0.0034,0.0001,0.0002,0.0003,0.0001,0.0001,0.0001,0.0001,0.0002
704010042-3-7622-A,704010042-3,-0.0046,,-0.0046,-0.0046,-0.0046,-0.0046,-0.0045,-0.0046,-0.0046,-0.0047
704010042-3-7655-T,704010042-3,-0.0038,-0.0014,-0.0038,-0.0038,-0.0036,-0.0038,-0.0037,-0.0038,-0.0038,-0.0042
704010042-3-7668-A,704010042-3,-0.0043,,-0.0043,-0.0043,-0.0043,-0.0043,-0.0043,-0.0043,-0.0043,-0.0044
704010042-3-7682-C,704010042-3,-0.0032,,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0033
704010042-3-7695-G,704010042-3,0.0001,,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002
704010042-3-7703-G,704010042-3,0.0009,,0.0009,0.0009,0.0014,0.001,0.0009,0.0009,0.0009,0.0007
704010042-3-7722-C,704010042-3,0.0028,,0.0028,0.0028,0.0027,0.0028,0.0028,0.0028,0.0028,0.0035
704010042-3-7722-G,704010042-3,0.0016,,0.0016,0.0016,0.0015,0.0016,0.0016,0.0016,0.0016,0.0016
704010042-3-7723-A,704010042-3,-0.0027,,-0.0027,-0.0027,-0.0025,-0.0026,-0.0026,-0.0027,-0.0027,-0.003
